term,han,vi,fr
Phóng-pháo,放砲,Bắn đại-bác vào một nơi nào.,"Bombarder, bombardement."
Quá-khứ,過去,"Nghĩa cũng giống chữ ký vãng, mà chỉ cái đã qua đi rồi.",Passé.
Quan-sát,觀察,"Xem xét, suy xét, nghiệm kỹ để giải lấy nhẽ.","Observer, observation."
Quang-học,光學,Học về ánh sáng.,Optique.
Quốc-tế-chủ-nghĩa,國際主義,"Chủ-nghĩa coi nước mình cũng như các nước khác, không phân biệt quốc-gia, dân-tộc.","Internationalisme, internationaliste."
Sung-đột,衝突,Hai bên cạnh-tranh nhau.,"Conflit, antagonisme, lutte, choc."
Suy-loại,推類,Nhân giống nhau mà suy rộng sự này ra sự khác.,"Raisonner, déduire par analogie."
Suy-ức,推臆,"Suy lường, ước lượng.","Estimer, préjuger, procéder par hypothèse."
Sư-đoàn,師團,"Gồm các quân-đội ước chừng hai vạn người, có một viên đại-tướng coi.",Division (d’armée).
Tả-thực,寫實,"Vẽ theo thực, chủ lấy như thực.","Peinture d’après nature, peinture réaliste."
Tập-hợp,集合,Về binh-pháp nghĩa là họp các quân-đội ở mọi nơi vào một chỗ để đặt thế công thế thủ.,Concentration (des troupes).
Tế-bào,細胞,"Cơ-quan nhỏ nhất trong da thịt các giống sinh-vật, hình như cái bao đựng các chất nước.",Cellule (organique).
Thành-thuyết,成說,"Nhời bàn đã thành lề, nhời dạy của người trước.","Théorie, opinion toute faite; lieu commun, idée rebattue."
Thảo-án,草案,"Bản thảo một tờ chương-trình, nghị-định, điều ước, v.v., chưa có quan trên duyệt, chưa thi-hành được.","Projet (de loi, etc...)"
Thiển-kiến,淺見,Ý-kiến nông nổi.,"Vue, opinion superficielle."
Thiệp-liệp,涉獵,"Xem qua loa, xem lược cho biết đại khái.",Parcourir.
Thiết-giáp,鐵甲,"Vỏ sắt dầy, bọc ngoài các tầu chiến nhớn.",Cuirasse.
Thủ-phủ,首府,Tỉnh to nhất trong một xứ; nơi quan sở-tại ở.,"Capitale, chef-lieu."
Thủ-tướng,首相,Ông thượng-thư đứng đầu tòa Nội-các.,"Premier ministre, président du conseil des ministres."
Thuyết-lý,說理,"Bàn về lý, không về thực sự.","Théorie, théorique, théoricien."
Thuyết-minh,說明,"Giải rõ, giải nghĩa, bàn cho thấu nghĩa.","Expliquer, explication."
Tổng-kế,總計,Phép gồm tính các sự vật theo từng hạng để lấy số trung-bình mà so-sánh hơn kém.,Statistique.
Tiền-đồ,前途,"Con đường trước mặt, con đường mình sẽ đi đến, tức là sự thuộc về sau.",Avenir.
Tuần-dương-hạm,巡洋艦,Tầu chiến đi tuần ngoài bể.,Croiseur.
Tư-lệnh-bộ,司令部,Gồm các tướng-tá giữ mệnh-lệnh trong một quân.,Etat-major (d’une armée).
Tư-tưởng-giới,思想界,Thế-giới những người tư-tưởng; gốm các nhà triết-học trong một nước.,Monde pensant.
Từ-điện,磁電,"(Hay là từ-thiết 磁鐵) tức ta gọi là đá nam-trâm, có tính hút các chất sắt.",Electro-aimant.
Tử-văn,死文,"« Văn chết », tiếng cổ không nói đến, văn cổ không dùng đến nữa.",Langue morte.
Tương-lai,將來,"Việc sau mới có, thuộc về sau này.",Avenir (futur).
Tưởng-lệ,獎勵,"Khuyên thưởng cho cố gắng, cho tấn tới lên.",Encourager.
Tượng-chứng,象徵,Chứng-cớ phát-hiện ra ngoài.,Preuve tangible.
Tưởng-tượng,想象,"Suy nghĩ, đặt để ra hình-tượng.","Imaginer, imagination."
Trác-kiến,桌見,Ý-kiến cao sâu.,"Perspicacité, pénétration d’esprit."
Tranh-biện,爭辯,"Bàn bạc, cãi nhau lấy nhẽ phải.","Discuter, discussion. (Bàn-bạc ở nơi nghị-viện thì thường dùng chữ thảo-luận 討論)."
Trận-địa,陣地,Phần đất đứng để bầy thế đánh nhau.,Position (entre les deux adversaires).
Triệu-chứng,兆徵,Điềm chứng hay dở phát-hiện ra trước.,"Présage, augure."
Trung-lưu,中流社會,"Bực giữa trong xã-hội, hạng người trung-bình.","Classe moyenne, bourgeoisie."
Truyện-ký,傳記,Truyện kể đời một người.,"Biographie, notice biographique."
Tuyệt-đích,絶旳,"Cái cao hơn nhất, đến đấy là cùng, không gì đối đãi được.",Absolu.
Tuyệt-tác,絶作,Công việc làm rất khéo.,Chef-d’œuvre.
Vận-văn,韻文,"Văn có vần, như thơ phú (đổi với văn suôi).","Vers, prose rythmée."
Võ-trang,武裝,"Gồm các đồ khí giới của tầu chiến, của quân-đội.","Armement,"
Vũ-trụ,宇宙,"Gồm cả các vật hữu-hình, vô-hình trong thế-giới.",Univers.
Xã-hội-chủ-nghĩa,社會主義,"Chủ-nghĩa của những người vụ sự hạnh-phúc, sự lợi-lộc chung cho cả xã-hội, muốn cho công-lao tài-sản trong xã-hội phân đều cho mọi người, không để cho một bọn người tư-bản  có của được sung sướng, còn bọn lao-động thì phải làm ăn khổ sở.","Socialisme, socialiste; marxisme."
Xúc-cảm,觸感,"Chạm vào, tiếp-xúc vào mà cảm. Cảm-giác bằng da, bằng tay.",Toucher (sens du).
Ý-chí,意志,"Chí muốn, chí quyết định làm việc gì.","Volonté (thường dùng đối với « tri biết », intelligence)."
Yếm-tế,掩蔽,"Che đậy, che lấp (Tiếng về binh-học chỉ một quân nọ đứng che quân kia khỏi lộ ra).",Couvrir (une armée).
Yếm-thế-chủ-nghĩa,厭世主義,"Chủ-nghĩa ghét đời, lấy sự đời cái gì cũng đáng chán,",Pessimisme.
Yêu-cầu,要求,"Xin đòi, sách đòi, cần phải có.","Exiger, réclamer."
Yêu-thuật,術妖,Phép kỳ quái để lừa người.,"Magie, charlatanisme, sorcellerie."
